X,Y,esi_original_sim1
0.0,0.0,-0.7799972185296448
1.0,0.0,-0.786836564714679
2.0,0.0,-0.7993722400752161
3.0,0.0,-0.8178243067090958
4.0,0.0,-0.9532061530222096
5.0,0.0,-0.5413835320145797
6.0,0.0,-0.7725007361246586
7.0,0.0,-0.808766544854262
8.0,0.0,-0.8262957910692239
9.0,0.0,-0.8389678721670039
10.0,0.0,-0.8514338269735253
11.0,0.0,-0.8664915995722426
12.0,0.0,-0.8864044129800375
13.0,0.0,-0.9134126890338381
14.0,0.0,-0.9505198539874973
15.0,0.0,-1.0057297171476858
16.0,0.0,-1.1124394261957027
17.0,0.0,-1.6339689658435033
18.0,0.0,-1.1447252747768646
19.0,0.0,-1.071213111520837
20.0,0.0,-1.0410111692065902
21.0,0.0,-1.014525969720447
22.0,0.0,-0.9939808833760384
23.0,0.0,-1.0244180370989548
24.0,0.0,-1.0620245871427731
25.0,0.0,-1.0920282732261373
26.0,0.0,-1.1180067265569757
27.0,0.0,-1.1422815720741009
28.0,0.0,-1.1662695390777384
29.0,0.0,-1.1913768874512307
30.0,0.0,-1.2191219537050446
31.0,0.0,-1.2418960688750234
32.0,0.0,-1.2418959960381293
33.0,0.0,-1.2419261822786993
34.0,0.0,-1.2471490430789611
35.0,0.0,-1.2572545271109525
36.0,0.0,-1.2755085862275046
37.0,0.0,-1.2921049012879713
38.0,0.0,-1.2694813197118384
39.0,0.0,-1.2407223065939645
40.0,0.0,-1.2189067851177315
41.0,0.0,-1.2018069111135548
42.0,0.0,-1.1877233890400543
43.0,0.0,-1.1757554625079785
44.0,0.0,-0.13341815045961708
45.0,0.0,-0.13923918963903373
46.0,0.0,-0.14498189006357165
47.0,0.0,-0.15039260019286466
48.0,0.0,-0.1549877437745256
49.0,0.0,-0.15807497846395824
50.0,0.0,-0.15900021105946538
51.0,0.0,-0.15757268029146335
52.0,0.0,-0.15427022541604946
53.0,0.0,-0.14996018585053472
54.0,0.0,-0.14545470649122708
55.0,0.0,-0.14128707968122267
56.0,0.0,-0.137714637069644
57.0,0.0,-0.1347840423583867
58.0,0.0,-0.13235210078235965
59.0,0.0,-0.1300323148834166
60.0,0.0,-0.12710236391595742
61.0,0.0,-0.12250653176299099
62.0,0.0,-0.11515673522386258
63.0,0.0,-0.10450969502671197
64.0,0.0,-0.09092742313146211
65.0,0.0,-0.07544305079905775
66.0,0.0,-0.0592626242602057
67.0,0.0,-0.04345339258243349
68.0,0.0,-0.028851412060247078
69.0,0.0,-0.01602996499515486
70.0,0.0,-0.005204887890284874
71.0,0.0,0.004074757360411321
72.0,0.0,0.014320184821147231
73.0,0.0,0.034132265220436206
74.0,0.0,0.07173492225052855
75.0,0.0,0.11481548107903856
76.0,0.0,0.14889923338867533
77.0,0.0,0.18717224963599907
78.0,0.0,0.23022463666339166
79.0,0.0,0.27671530205757766
80.0,0.0,0.3265865601207137
81.0,0.0,0.38106674476327007
82.0,0.0,0.4457212897006925
83.0,0.0,0.5549894807318313
84.0,0.0,1.7534848754682768
85.0,0.0,0.6083248134239216
86.0,0.0,0.5432809001640885
87.0,0.0,0.5358294857560023
88.0,0.0,0.546933174865622
89.0,0.0,0.5689826666674332
90.0,0.0,0.6007982013399676
91.0,0.0,0.6415786275686123
92.0,0.0,0.6851064863918714
93.0,0.0,0.7340200778230693
94.0,0.0,0.8459251813335289
95.0,0.0,1.811773374472364
96.0,0.0,1.903464704489046
97.0,0.0,0.8558960627133809
98.0,0.0,0.7190479132505905
99.0,0.0,0.8299014508198822
100.0,0.0,0.8407507897512262
101.0,0.0,0.8514036177967885
102.0,0.0,0.855737020133475
103.0,0.0,0.8481695302343605
104.0,0.0,0.835619273964939
105.0,0.0,0.8227546792919398
106.0,0.0,0.8079309732869275
107.0,0.0,0.7868014567243813
108.0,0.0,0.7593384820096062
109.0,0.0,0.7343669014158385
110.0,0.0,0.7186424049458872
111.0,0.0,0.7062131281953885
112.0,0.0,0.6916122865270211
113.0,0.0,0.674113221340223
114.0,0.0,0.6541738831746629
115.0,0.0,0.6321816017537278
116.0,0.0,0.6080591977106666
117.0,0.0,0.5809273126903006
118.0,0.0,0.548246969680593
119.0,0.0,0.5025665727908477
120.0,0.0,0.41202113436888854
121.0,0.0,-0.4056706480960128
122.0,0.0,0.3766180701182813
123.0,0.0,0.4226300778470888
124.0,0.0,0.4236413597535531
125.0,0.0,0.4205702727044731
126.0,0.0,0.42980908535755846
127.0,0.0,0.4441767993199791
128.0,0.0,0.45530843446680347
129.0,0.0,0.46222078268561084
130.0,0.0,0.4658462906807582
131.0,0.0,0.46706881394795347
132.0,0.0,0.4665861063571235
133.0,0.0,0.4650755620373777
134.0,0.0,0.46330921654664686
135.0,0.0,0.4621198574763973
136.0,0.0,0.4621309205655538
137.0,0.0,0.46366741745547424
138.0,0.0,0.47745364190578826
139.0,0.0,0.5181855008615647
140.0,0.0,0.4980516519331487
141.0,0.0,0.47047107326015597
142.0,0.0,0.4524171260037016
143.0,0.0,0.4385209411385453
144.0,0.0,0.42593521705238796
145.0,0.0,0.41329027967511744
146.0,0.0,0.3998074876797417
147.0,0.0,0.38491757527456383
148.0,0.0,0.36804088719786765
149.0,0.0,0.34840802923469105
150.0,0.0,0.32516279466410647
151.0,0.0,0.29950936150767477
152.0,0.0,0.28122909369141447
153.0,0.0,0.2800213570616121
154.0,0.0,0.2841044819205948
155.0,0.0,0.2830096786827936
156.0,0.0,0.2762946138723071
157.0,0.0,0.2661464288996916
158.0,0.0,0.24996973593723554
159.0,0.0,0.23641951018307794
160.0,0.0,0.27785052066769933
161.0,0.0,0.32397159845959084
162.0,0.0,0.36561650740241136
163.0,0.0,0.42157676243998565
164.0,0.0,0.7127751333035683
165.0,0.0,0.4808237366340474
166.0,0.0,0.4681891104982885
167.0,0.0,0.47191656253984826
168.0,0.0,0.8370988028092472
169.0,0.0,0.8439312697756961
170.0,0.0,0.8512623560749752
