X,Y,esi_original_sim1
0.0,0.0,-0.7440795747578585
1.0,0.0,-0.7700229022724456
2.0,0.0,-0.7974308963036565
3.0,0.0,-0.8249575990327526
4.0,0.0,-0.8861033227185042
5.0,0.0,-0.9125632581929155
6.0,0.0,-0.9257637794790541
7.0,0.0,-0.9324489660964944
8.0,0.0,-0.9347620987739214
9.0,0.0,-0.9364272005077744
10.0,0.0,-0.9414516743015092
11.0,0.0,-0.9536010009679573
12.0,0.0,-0.9768408041403103
13.0,0.0,-1.0400201557878885
14.0,0.0,-1.1084869843701517
15.0,0.0,-1.2277223490289702
16.0,0.0,-1.3047855518972507
17.0,0.0,-1.2072203391570417
18.0,0.0,-1.0961410628738428
19.0,0.0,-1.0136983020518968
20.0,0.0,-0.9538436541170622
21.0,0.0,-0.9011456622331449
22.0,0.0,-0.867398544026237
23.0,0.0,-0.8433924410868152
24.0,0.0,-0.8081939961992459
25.0,0.0,-0.7915281621146484
26.0,0.0,-0.7549197113831413
27.0,0.0,-0.7436202461539415
28.0,0.0,-0.725730339006454
29.0,0.0,-0.700640739177778
30.0,0.0,-0.6940213322628145
31.0,0.0,-0.6917114397231668
32.0,0.0,-0.6874953820560212
33.0,0.0,-0.6706572736145345
34.0,0.0,-0.6685914788948698
35.0,0.0,-0.655515282404022
36.0,0.0,-0.6556725836571696
37.0,0.0,-0.6565690378296314
38.0,0.0,-0.6582523727853316
39.0,0.0,-0.6607685363380541
40.0,0.0,-0.6641530700740168
41.0,0.0,-0.6747500748832477
42.0,0.0,-0.681600421221606
43.0,0.0,-0.6905357501370184
44.0,0.0,-0.6983904936291639
45.0,0.0,-0.7061987348008557
46.0,0.0,-0.7100427966968514
47.0,0.0,-0.733998722688645
48.0,0.0,-0.7398694227502487
49.0,0.0,-0.737539154221755
50.0,0.0,-0.7438464314713786
51.0,0.0,-0.743356748344869
52.0,0.0,-0.7423032200186545
53.0,0.0,-0.7707621706491637
54.0,0.0,-0.8011919243429518
55.0,0.0,-0.8678458889850318
56.0,0.0,-0.9417342643000205
57.0,0.0,-1.058834445461172
58.0,0.0,-1.2219413024812096
59.0,0.0,-1.3618723088437839
60.0,0.0,-1.1165844507014246
61.0,0.0,-0.9104671824157491
62.0,0.0,-0.7224067435189767
63.0,0.0,-0.6356024750177692
64.0,0.0,-0.568400168417997
65.0,0.0,-0.4740328049516782
66.0,0.0,-0.35538447706563275
67.0,0.0,-0.291928939151796
68.0,0.0,-0.15691388809087717
69.0,0.0,-0.09621777372068895
70.0,0.0,-0.03789925141787426
71.0,0.0,-0.016040466581430338
72.0,0.0,0.04780149962304574
73.0,0.0,0.13650189842852606
74.0,0.0,0.15314348702671252
75.0,0.0,0.21734533075285675
76.0,0.0,0.26752819247060744
77.0,0.0,0.289379960117881
78.0,0.0,0.33155883067593506
79.0,0.0,0.3426224337390479
80.0,0.0,0.35291755183339085
81.0,0.0,0.40697292729729695
82.0,0.0,0.49750796515859386
83.0,0.0,0.506082480934602
84.0,0.0,0.5518905949383724
85.0,0.0,0.5905930723593589
86.0,0.0,0.632838789210948
87.0,0.0,0.6888282937736612
88.0,0.0,0.6982397540272166
89.0,0.0,0.7479158009353775
90.0,0.0,0.8082424317878256
91.0,0.0,0.8362805020376919
92.0,0.0,0.8904318115785652
93.0,0.0,0.9003361726607676
94.0,0.0,0.9223964050354323
95.0,0.0,0.9617412900370627
96.0,0.0,0.9720781084345158
97.0,0.0,0.9837218174541195
98.0,0.0,1.0329774907508948
99.0,0.0,1.034031768276952
100.0,0.0,1.0208992267422312
101.0,0.0,1.018846344994822
102.0,0.0,1.0159141812368906
103.0,0.0,1.005986109906368
104.0,0.0,0.9925617279184792
105.0,0.0,0.9765347185074447
106.0,0.0,0.9795212819567735
107.0,0.0,0.9853205479258306
108.0,0.0,0.9742943793184581
109.0,0.0,0.9822596836400612
110.0,0.0,0.9607334647779153
111.0,0.0,0.9359893974062921
112.0,0.0,0.8745214047521044
113.0,0.0,0.8273665925467332
114.0,0.0,0.7865079536298336
115.0,0.0,0.7492562216956125
116.0,0.0,0.7309125231576812
117.0,0.0,0.6940860556186484
118.0,0.0,0.6501341808025891
119.0,0.0,0.6001429563099273
120.0,0.0,0.5874458723598329
121.0,0.0,0.5370197294526334
122.0,0.0,0.5063563315611591
123.0,0.0,0.47174287920645136
124.0,0.0,0.4353305359924564
125.0,0.0,0.4160428339667617
126.0,0.0,0.36294612286897027
127.0,0.0,0.33988646523097926
128.0,0.0,0.30431136519445656
129.0,0.0,0.2874618680572559
130.0,0.0,0.28678805013299546
131.0,0.0,0.2747526111280552
132.0,0.0,0.2941411950447442
133.0,0.0,0.31256297006681216
134.0,0.0,0.3284858196988363
135.0,0.0,0.31295163662109515
136.0,0.0,0.30690362166560786
137.0,0.0,0.2976404779805722
138.0,0.0,0.2685839352769542
139.0,0.0,0.2384163189843883
140.0,0.0,0.19504325793307536
141.0,0.0,0.16237184490761206
142.0,0.0,0.10009784956490023
143.0,0.0,0.022177850407868512
144.0,0.0,-0.045595681603369444
145.0,0.0,-0.09588784065954475
146.0,0.0,-0.14591147306123467
147.0,0.0,-0.13520858688492413
148.0,0.0,-0.10260371611109581
149.0,0.0,-0.0754415643486284
150.0,0.0,-0.06638655708860615
151.0,0.0,-0.054686935379664285
152.0,0.0,-0.04677203894675275
153.0,0.0,-0.01897593195121123
154.0,0.0,-0.009632801388070432
155.0,0.0,-0.00888495541083233
156.0,0.0,0.015116421696478604
157.0,0.0,0.04848732241933559
158.0,0.0,0.04801400646590193
159.0,0.0,0.06616204518739591
160.0,0.0,0.10919560746962821
161.0,0.0,0.17380042499088852
162.0,0.0,0.2418144680584577
163.0,0.0,0.2854468106496637
164.0,0.0,0.3183247454671785
165.0,0.0,0.354145846595159
166.0,0.0,0.4217264760872147
167.0,0.0,0.4370347650808143
168.0,0.0,0.4694481797828774
169.0,0.0,0.5143159985564797
170.0,0.0,0.5690906931343307
171.0,0.0,0.6409441248013288
172.0,0.0,0.6616713038614556
173.0,0.0,0.7118278522766809
174.0,0.0,0.738023452153886
175.0,0.0,0.8345799948802416
176.0,0.0,0.8906521909777418
177.0,0.0,0.9404342161642069
178.0,0.0,1.0144381451037265
179.0,0.0,1.1012745540686812
180.0,0.0,1.1906121120976518
181.0,0.0,1.1308499630133364
182.0,0.0,1.0505048771316459
183.0,0.0,0.9943291742271606
184.0,0.0,0.9527324152926105
185.0,0.0,0.9370068482725088
186.0,0.0,0.9246128762102077
187.0,0.0,0.918144349804589
188.0,0.0,0.9091653563285621
189.0,0.0,0.9158433412476037
190.0,0.0,0.9288541801146012
191.0,0.0,0.949917309063908
192.0,0.0,0.9797052550666691
193.0,0.0,1.0129636127395398
194.0,0.0,1.0285213547075853
195.0,0.0,1.0240429608845558
196.0,0.0,0.9809611441511729
197.0,0.0,0.9394260092117902
198.0,0.0,0.9056217034624349
199.0,0.0,0.8790572029756001
0.0,1.0,-0.7505092675710658
1.0,1.0,-0.7815445301876971
2.0,1.0,-0.815745188368349
3.0,1.0,-0.8517255389522397
4.0,1.0,-0.9013848856211802
5.0,1.0,-0.9448774539553851
6.0,1.0,-0.9654693136885727
7.0,1.0,-0.9685833361458793
8.0,1.0,-0.9635097764342817
9.0,1.0,-0.9570863285434886
10.0,1.0,-0.955392980583377
11.0,1.0,-0.9629939155199159
12.0,1.0,-0.9842725418703027
13.0,1.0,-1.0373547142989374
14.0,1.0,-1.129986859054132
15.0,1.0,-1.2829498913342576
16.0,1.0,-1.6775070152206997
17.0,1.0,-1.2968616698285198
18.0,1.0,-1.1168897695526345
19.0,1.0,-1.020232504290132
20.0,1.0,-0.9552957839701688
21.0,1.0,-0.9005298229710884
22.0,1.0,-0.8649988992857707
23.0,1.0,-0.83850138626114
24.0,1.0,-0.8062628876020226
25.0,1.0,-0.7896171338365812
26.0,1.0,-0.7533595728179955
27.0,1.0,-0.7421529433500627
28.0,1.0,-0.7344349572585621
29.0,1.0,-0.7166811506345172
30.0,1.0,-0.6956582152447903
31.0,1.0,-0.6907022724662216
32.0,1.0,-0.6863956297793269
33.0,1.0,-0.67570289007745
34.0,1.0,-0.6673072218191077
35.0,1.0,-0.6619200416315956
36.0,1.0,-0.6542480845920177
37.0,1.0,-0.6551666835251537
38.0,1.0,-0.6569627271142829
39.0,1.0,-0.6597156425225955
40.0,1.0,-0.6635018168993723
41.0,1.0,-0.6683832173823747
42.0,1.0,-0.6790609062106031
43.0,1.0,-0.6933979813113672
44.0,1.0,-0.7030109701504318
45.0,1.0,-0.7127949563781272
46.0,1.0,-0.72558679361058
47.0,1.0,-0.7436306420417097
48.0,1.0,-0.736831722480539
49.0,1.0,-0.7408276392252582
50.0,1.0,-0.7454521923747539
51.0,1.0,-0.7440935807245126
52.0,1.0,-0.7593469618261034
53.0,1.0,-0.7661791886445647
54.0,1.0,-0.7944526738373254
55.0,1.0,-0.8570972938338943
56.0,1.0,-0.9514706737591682
57.0,1.0,-1.0894081505278463
58.0,1.0,-1.3506195710248674
59.0,1.0,-1.9330212052408167
60.0,1.0,-1.263593567355914
61.0,1.0,-0.9120484112115167
62.0,1.0,-0.7331416851186053
63.0,1.0,-0.6389408549206048
64.0,1.0,-0.5273077498617836
65.0,1.0,-0.4723184682098148
66.0,1.0,-0.3257252724977868
67.0,1.0,-0.1844930237418671
68.0,1.0,-0.15321585754723396
69.0,1.0,-0.092086995289648
70.0,1.0,-0.03338080569803862
71.0,1.0,-0.0110522188921143
72.0,1.0,0.0530204626860118
73.0,1.0,0.14194360879992207
74.0,1.0,0.15902526809090045
75.0,1.0,0.2044181429841354
76.0,1.0,0.273603251887525
77.0,1.0,0.2867123926090334
78.0,1.0,0.3380877465516956
79.0,1.0,0.34931016729678377
80.0,1.0,0.3596952850197578
81.0,1.0,0.4335038210801704
82.0,1.0,0.47762069613010943
83.0,1.0,0.5119888149204411
84.0,1.0,0.5507611932811616
85.0,1.0,0.5957597899698878
86.0,1.0,0.6378613140076242
87.0,1.0,0.6935101574426844
88.0,1.0,0.7037220237835335
89.0,1.0,0.7919428047990121
90.0,1.0,0.7964094108686683
91.0,1.0,0.849957218167382
92.0,1.0,0.9009311262860714
93.0,1.0,0.9125469695142158
94.0,1.0,0.9233941492722428
95.0,1.0,0.9772462765175335
96.0,1.0,0.9980376121608036
97.0,1.0,1.0015832721567977
98.0,1.0,1.0516690106709516
99.0,1.0,1.052566976948863
100.0,1.0,1.0382660458918063
101.0,1.0,1.0349847099765568
102.0,1.0,1.03053531644341
103.0,1.0,1.0188516753939372
104.0,1.0,1.004320198319675
105.0,1.0,1.00412090918608
106.0,1.0,0.9930981352445569
107.0,1.0,1.0037165891820528
108.0,1.0,1.0212836166899795
109.0,1.0,1.0252883843208906
110.0,1.0,1.065143930525657
111.0,1.0,1.005566875766655
112.0,1.0,0.9208570688938781
113.0,1.0,0.8406504391500816
114.0,1.0,0.7928719112776679
115.0,1.0,0.7516807924481504
116.0,1.0,0.7314243898121902
117.0,1.0,0.6939295336494031
118.0,1.0,0.658458540279084
119.0,1.0,0.6010263694261126
120.0,1.0,0.5881849500682587
121.0,1.0,0.5213806911220982
122.0,1.0,0.5070578085909383
123.0,1.0,0.47170222572637427
124.0,1.0,0.43376948503928925
125.0,1.0,0.41088872322280606
126.0,1.0,0.36399501291821046
127.0,1.0,0.3158012387346082
128.0,1.0,0.23382215793210293
129.0,1.0,0.2137584635068921
130.0,1.0,0.2249236927088743
131.0,1.0,0.2535683210218906
132.0,1.0,0.2862609988596446
133.0,1.0,0.31388714205980306
134.0,1.0,0.33737548611946766
135.0,1.0,0.33065539415080974
136.0,1.0,0.33261063314199774
137.0,1.0,0.3276838877638302
138.0,1.0,0.2957031158741357
139.0,1.0,0.2584449880471139
140.0,1.0,0.2242043456656967
141.0,1.0,0.15918950843992152
142.0,1.0,0.07702991636538524
143.0,1.0,-0.009285544374822567
144.0,1.0,-0.08069508685425063
145.0,1.0,-0.1731201450900022
146.0,1.0,-0.26048271056995936
