x,y,z,cond_ok
0.0,0.0,0.0,-0.05183071131992544
1.0,0.0,0.0,-0.04996544462854908
2.0,0.0,0.0,-0.048291629100223055
3.0,0.0,0.0,-0.04681418986218103
4.0,0.0,0.0,-0.045537556467922916
5.0,0.0,0.0,0.013288777463948714
6.0,0.0,0.0,0.014011004966409682
7.0,0.0,0.0,0.014533514593094349
8.0,0.0,0.0,0.014854708317295837
9.0,0.0,0.0,0.014973623358472604
10.0,0.0,0.0,0.014889956323734438
11.0,0.0,0.0,0.014604082977862837
12.0,0.0,0.0,0.014117073171889094
13.0,0.0,0.0,0.013403418024738073
14.0,0.0,0.0,0.012263112283920186
15.0,0.0,0.0,0.010664736151214882
16.0,0.0,0.0,0.00862028660354669
17.0,0.0,0.0,0.0061425380816053365
18.0,0.0,0.0,0.0032450269715231517
19.0,0.0,0.0,-5.7969353549958136e-05
20.0,0.0,0.0,-0.003751458603651281
21.0,0.0,0.0,-0.007819764331909118
22.0,0.0,0.0,-0.012246560881391144
23.0,0.0,0.0,-0.01701491195102206
24.0,0.0,0.0,-0.022107312164926285
25.0,0.0,0.0,-0.027505731000113665
26.0,0.0,0.0,-0.03319165841658353
27.0,0.0,0.0,-0.0391461515411802
28.0,0.0,0.0,-0.04534988178077795
29.0,0.0,0.0,-0.0517831817799109
30.0,0.0,0.0,-0.05842609169074878
31.0,0.0,0.0,-0.12035039665325489
32.0,0.0,0.0,-0.12773052386635553
33.0,0.0,0.0,-0.10513109664963041
34.0,0.0,0.0,-0.11338541539851481
35.0,0.0,0.0,-0.12177850574699126
36.0,0.0,0.0,-0.13028682571503059
37.0,0.0,0.0,-0.13888673823859277
38.0,0.0,0.0,-0.1475545429815126
39.0,0.0,0.0,-0.15626650656629976
40.0,0.0,0.0,-0.1649988914571775
41.0,0.0,0.0,-0.1737279837807798
42.0,0.0,0.0,-0.18243012041323942
43.0,0.0,0.0,-0.19108171569624088
44.0,0.0,0.0,-0.19965928816850245
45.0,0.0,0.0,-0.20813948771253826
46.0,0.0,0.0,-0.21649912351906597
47.0,0.0,0.0,-0.22471519326268447
48.0,0.0,0.0,-0.2327649138621414
49.0,0.0,0.0,-0.24062575416640303
50.0,0.0,0.0,-0.2482754698637192
51.0,0.0,0.0,-0.25569214085496494
52.0,0.0,0.0,-0.2628542112649883
53.0,0.0,0.0,-0.269740532187029
54.0,0.0,0.0,-0.4353909574192583
55.0,0.0,0.0,-0.44175154755395707
56.0,0.0,0.0,-0.4477847610592773
57.0,0.0,0.0,-0.4534711558199186
58.0,0.0,0.0,-0.45879188477942967
59.0,0.0,0.0,-0.4636410662536848
60.0,0.0,0.0,-0.46734317168369793
61.0,0.0,0.0,-0.46977072428110594
62.0,0.0,0.0,-0.47093789126697916
63.0,0.0,0.0,-0.47085998174976934
64.0,0.0,0.0,-0.4697345984548468
65.0,0.0,0.0,-0.46775781529064375
66.0,0.0,0.0,-0.4649330477362804
67.0,0.0,0.0,-0.6003397000107549
68.0,0.0,0.0,-0.5957392254151618
69.0,0.0,0.0,-0.5902601229819114
70.0,0.0,0.0,-0.5839114007684938
71.0,0.0,0.0,-0.5768803094634622
72.0,0.0,0.0,-0.5693624185705726
73.0,0.0,0.0,-0.4425558968962584
74.0,0.0,0.0,-0.43436635277500296
75.0,0.0,0.0,-0.4257574408870728
76.0,0.0,0.0,-0.4167547764449677
77.0,0.0,0.0,-0.40738509154848934
78.0,0.0,0.0,-0.32159493631822333
79.0,0.0,0.0,-0.16005014620952066
80.0,0.0,0.0,-0.22881910386267146
81.0,0.0,0.0,-0.21902090653664896
82.0,0.0,0.0,-0.2089998512796284
83.0,0.0,0.0,-0.19872962449436654
84.0,0.0,0.0,-0.18823815694234208
85.0,0.0,0.0,-0.14865560455655363
86.0,0.0,0.0,-0.1375315904153309
87.0,0.0,0.0,-0.12625781192253177
88.0,0.0,0.0,-0.1148655326456128
89.0,0.0,0.0,-0.23339951577705928
90.0,0.0,0.0,-0.2218807225219321
91.0,0.0,0.0,-0.21025670031830035
92.0,0.0,0.0,-0.19856221113008665
93.0,0.0,0.0,-0.18683208729837186
94.0,0.0,0.0,-0.17510114126252072
95.0,0.0,0.0,-0.16340407382692898
96.0,0.0,0.0,-0.15177538108578073
97.0,0.0,0.0,-0.1402492601737336
98.0,0.0,0.0,-0.12885951408224616
99.0,0.0,0.0,-0.1176394558665455
100.0,0.0,0.0,-0.13865498102412704
101.0,0.0,0.0,-0.12798045764451516
102.0,0.0,0.0,-0.11756128366655047
103.0,0.0,0.0,-0.10742759955148634
104.0,0.0,0.0,-0.09760859327005449
105.0,0.0,0.0,-0.08813241330010528
106.0,0.0,0.0,-0.07902608591112727
107.0,0.0,0.0,-0.07031543774945669
108.0,0.0,0.0,-0.062025024746476004
109.0,0.0,0.0,-0.054178068350584876
110.0,0.0,0.0,-0.07207734700754276
111.0,0.0,0.0,-0.06511127877803927
112.0,0.0,0.0,-0.05864520508294763
113.0,0.0,0.0,-0.052696594388612183
114.0,0.0,0.0,-0.04728139638445866
115.0,0.0,0.0,-0.042414038323516035
116.0,0.0,0.0,-0.03810743265424496
117.0,0.0,0.0,-0.03437299577567385
118.0,0.0,0.0,-0.031220677536970026
119.0,0.0,0.0,-0.02865900089865908
120.0,0.0,0.0,-0.026695110982075845
121.0,0.0,0.0,-0.025334832561928033
122.0,0.0,0.0,-0.024582734908900894
123.0,0.0,0.0,-0.024442202768323554
124.0,0.0,0.0,-0.024915512169554455
125.0,0.0,0.0,-0.026003909699882893
126.0,0.0,0.0,0.1415674015611874
127.0,0.0,0.0,0.13827225855921074
128.0,0.0,0.0,0.13438888252182124
129.0,0.0,0.0,0.11497392303190042
130.0,0.0,0.0,0.11058751506640568
131.0,0.0,0.0,0.19954456200968346
132.0,0.0,0.0,0.19418277352259725
133.0,0.0,0.0,0.18861761429001733
134.0,0.0,0.0,0.1828643867298527
135.0,0.0,0.0,0.17693859839584766
136.0,0.0,0.0,0.17085590823593536
137.0,0.0,0.0,0.1646320772833946
138.0,0.0,0.0,0.15828292388039358
139.0,0.0,0.0,0.39099848222762174
140.0,0.0,0.0,0.38525332976045423
141.0,0.0,0.0,0.37951649377033203
142.0,0.0,0.0,0.37380127646374445
143.0,0.0,0.0,0.36812060558652415
144.0,0.0,0.0,0.3624869849152979
145.0,0.0,0.0,0.35691244781292175
146.0,0.0,0.0,0.35140851446262944
147.0,0.0,0.0,0.34598615342925304
148.0,0.0,0.0,0.34065574819895406
149.0,0.0,0.0,0.33542706931660904
150.0,0.0,0.0,0.3303092526699302
151.0,0.0,0.0,0.32531078436233174
152.0,0.0,0.0,0.32043949247631864
153.0,0.0,0.0,0.4722939407831277
154.0,0.0,0.0,0.4682859292196007
155.0,0.0,0.0,0.4644789082468047
156.0,0.0,0.0,0.460874695634038
157.0,0.0,0.0,0.45747416834924404
158.0,0.0,0.0,0.45427731316217784
159.0,0.0,0.0,0.45128328458016775
160.0,0.0,0.0,0.4484904685470048
161.0,0.0,0.0,0.44589657864921456
162.0,0.0,0.0,0.4437804082693052
163.0,0.0,0.0,0.4424240508785451
164.0,0.0,0.0,0.44184573435705266
165.0,0.0,0.0,0.44206310451881925
166.0,0.0,0.0,0.44309329233139444
167.0,0.0,0.0,0.4449529780189271
168.0,0.0,0.0,0.44754134397948603
169.0,0.0,0.0,0.4503014749834653
170.0,0.0,0.0,0.45315160536310395
171.0,0.0,0.0,0.4560830166642222
172.0,0.0,0.0,0.4590870216848558
173.0,0.0,0.0,0.4621549944631708
174.0,0.0,0.0,0.46527839579569485
175.0,0.0,0.0,0.46844879456702077
176.0,0.0,0.0,0.4716578852132953
177.0,0.0,0.0,0.474897501665767
178.0,0.0,0.0,0.4781596281302585
179.0,0.0,0.0,0.481436407056549
180.0,0.0,0.0,0.4847201446409277
181.0,0.0,0.0,0.48800331418798015
182.0,0.0,0.0,0.4912785576360041
183.0,0.0,0.0,0.49453868552607705
184.0,0.0,0.0,0.4977766756690213
185.0,0.0,0.0,0.5009856707384668
186.0,0.0,0.0,0.44081973966169385
187.0,0.0,0.0,0.4436481858564798
188.0,0.0,0.0,0.44643271678974505
189.0,0.0,0.0,0.4491676984406678
190.0,0.0,0.0,0.45184762595841055
191.0,0.0,0.0,0.4544671187904573
192.0,0.0,0.0,0.4570209157119173
193.0,0.0,0.0,0.4595038698173015
194.0,0.0,0.0,0.4619109435254287
195.0,0.0,0.0,0.4642372036386355
196.0,0.0,0.0,0.466477816489293
197.0,0.0,0.0,0.46862804319960316
198.0,0.0,0.0,0.4706832350746921
199.0,0.0,0.0,0.47263882914391225
0.0,1.0,0.0,-0.036960823628746205
1.0,1.0,0.0,-0.03497355732322297
2.0,1.0,0.0,-0.03319280840610586
3.0,1.0,0.0,-0.03162427504075795
4.0,1.0,0.0,0.0264749509305963
5.0,1.0,0.0,0.027434083233095735
6.0,1.0,0.0,0.028179002247895338
7.0,1.0,0.0,0.028706984293541946
8.0,1.0,0.0,0.029015983963216557
9.0,1.0,0.0,0.0291046700652957
10.0,1.0,0.0,0.028972456977123584
11.0,1.0,0.0,0.028619530684762307
12.0,1.0,0.0,0.027957837070293617
13.0,1.0,0.0,0.026801902813586437
14.0,1.0,0.0,0.025155723823097137
15.0,1.0,0.0,0.02303071821181263
16.0,1.0,0.0,0.020439200182162387
17.0,1.0,0.0,0.017394368486132822
18.0,1.0,0.0,0.01391028771533162
19.0,1.0,0.0,0.01000186272627146
20.0,1.0,0.0,0.005684806651216151
21.0,1.0,0.0,0.0009756030751790212
22.0,1.0,0.0,-0.0041085369295099095
23.0,1.0,0.0,-0.009549722131872385
24.0,1.0,0.0,-0.015329431992683773
25.0,1.0,0.0,-0.02142857015952257
26.0,1.0,0.0,-0.02782751972049627
27.0,1.0,0.0,-0.034506199347425215
28.0,1.0,0.0,-0.04144411949959226
29.0,1.0,0.0,-0.04862043792025719
30.0,1.0,0.0,-0.056014013736681356
31.0,1.0,0.0,-0.1176137624521928
32.0,1.0,0.0,-0.12579796547560718
33.0,1.0,0.0,-0.13415664484147988
34.0,1.0,0.0,-0.11512311344773865
35.0,1.0,0.0,-0.124396338355334
36.0,1.0,0.0,-0.13378706359913314
37.0,1.0,0.0,-0.1432704730056978
38.0,1.0,0.0,-0.15282169603304052
39.0,1.0,0.0,-0.16241583687663091
40.0,1.0,0.0,-0.17202800155087922
41.0,1.0,0.0,-0.1816333233535036
42.0,1.0,0.0,-0.19120698717593648
43.0,1.0,0.0,-0.20072425316695364
44.0,1.0,0.0,-0.2101604802885656
45.0,1.0,0.0,-0.2194911503224129
46.0,1.0,0.0,-0.22869189289104636
47.0,1.0,0.0,-0.23773851205102758
48.0,1.0,0.0,-0.24660701499324458
49.0,1.0,0.0,-0.25527364334965386
50.0,1.0,0.0,-0.2637149075543651
51.0,1.0,0.0,-0.2719076246401263
52.0,1.0,0.0,-0.27982895976867384
53.0,1.0,0.0,-0.2874564716951936
54.0,1.0,0.0,-0.29476816225379715
55.0,1.0,0.0,-0.45576961820576994
56.0,1.0,0.0,-0.4625213199906187
57.0,1.0,0.0,-0.46890620971689695
58.0,1.0,0.0,-0.4744333890407664
59.0,1.0,0.0,-0.4786322717620734
60.0,1.0,0.0,-0.4815139643603308
61.0,1.0,0.0,-0.48309068461336396
62.0,1.0,0.0,-0.48355693078381373
